tilt,gain,mean_err_deg,std_err_deg,n
0,50,3.9465434551239014,5.224158763885498,39929
0,80,8.113701820373535,8.348679542541504,39719
0,90,11.272372245788574,9.5535249710083,34046
0,100,14.354324340820312,10.843300819396973,26769
0,110,14.530253410339355,11.230447769165039,21661
0,120,13.875673294067383,11.073896408081055,18344
15,50,5.399226188659668,6.948577880859375,39510
15,80,10.476968765258789,10.410728454589844,39411
15,90,15.106581687927246,12.1121826171875,30965
15,100,18.774612426757812,14.530512809753418,25374
15,110,18.780712127685547,14.38791275024414,18995
15,120,16.82196044921875,11.8367338180542,15797
